@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute handpos-1 {0,1,2,3,4,5}

@data
3775,'2017/02/21 02:13:59:537',7,-19.245106,-2.677704,2
3776,'2017/02/21 02:13:59:554',7,-19.169416,-2.907242,2
3777,'2017/02/21 02:13:59:570',7,-19.111679,-3.073395,2
3778,'2017/02/21 02:13:59:587',7,-19.030796,-3.315231,2
3779,'2017/02/21 02:13:59:604',7,-18.966095,-3.470421,2
3780,'2017/02/21 02:13:59:621',7,-18.936602,-3.566399,2
3781,'2017/02/21 02:13:59:638',7,-18.936546,-3.630653,2
3782,'2017/02/21 02:13:59:653',7,-18.822622,-3.768936,2
3783,'2017/02/21 02:13:59:669',7,-18.720894,-3.899132,2
3784,'2017/02/21 02:13:59:686',7,-18.575436,-4.054276,2
3785,'2017/02/21 02:13:59:703',7,-18.415047,-4.226433,2
3786,'2017/02/21 02:13:59:719',7,-18.280369,-4.400253,2
3787,'2017/02/21 02:13:59:736',7,-18.220842,-4.509155,2
3788,'2017/02/21 02:13:59:753',7,-18.249725,-4.526695,2
3789,'2017/02/21 02:13:59:770',7,-18.283875,-4.548058,2
3790,'2017/02/21 02:13:59:787',7,-18.299862,-4.574226,2
3791,'2017/02/21 02:13:59:803',7,-18.326151,-4.614426,2
3792,'2017/02/21 02:13:59:820',7,-18.258654,-4.740479,2
3793,'2017/02/21 02:13:59:837',7,-18.18926,-4.877655,2
3794,'2017/02/21 02:13:59:852',7,-18.173923,-4.961296,2
3795,'2017/02/21 02:13:59:870',7,-18.235741,-4.930443,2
3796,'2017/02/21 02:13:59:886',7,-18.273836,-4.900299,2
3797,'2017/02/21 02:13:59:903',7,-18.237934,-4.943306,2
3798,'2017/02/21 02:13:59:919',7,-18.161154,-5.073479,2
3799,'2017/02/21 02:13:59:936',7,-18.103794,-5.197395,2
3800,'2017/02/21 02:13:59:953',7,-18.018366,-5.397148,2
3801,'2017/02/21 02:13:59:969',7,-17.981674,-5.500412,2
3802,'2017/02/21 02:13:59:986',7,-17.944759,-5.638939,2
3803,'2017/02/21 02:14:00:003',7,-17.913454,-5.736382,2
3804,'2017/02/21 02:14:00:030',7,-17.856104,-5.879906,2
3805,'2017/02/21 02:14:00:037',7,-17.838692,-5.925545,2
3806,'2017/02/21 02:14:00:052',7,-17.812128,-5.995941,2
3807,'2017/02/21 02:14:00:068',7,-17.793282,-6.053978,2
3808,'2017/02/21 02:14:00:085',7,-17.779619,-6.103714,2
3809,'2017/02/21 02:14:00:102',7,-17.769058,-6.143456,2
3810,'2017/02/21 02:14:00:120',7,-17.689365,-6.253418,2
3811,'2017/02/21 02:14:00:135',7,-17.564354,-6.408852,2
3812,'2017/02/21 02:14:00:152',7,-17.47279,-6.519859,2
3813,'2017/02/21 02:14:00:169',7,-17.437021,-6.562698,2
3814,'2017/02/21 02:14:00:186',7,-17.381371,-6.628563,2
3815,'2017/02/21 02:14:00:202',7,-17.381371,-6.628563,2
3816,'2017/02/21 02:14:00:219',7,-17.328747,-6.692169,2
3817,'2017/02/21 02:14:00:235',7,-17.262327,-6.778717,2
3818,'2017/02/21 02:14:00:252',7,-17.222748,-6.834229,2
3819,'2017/02/21 02:14:00:268',7,-17.17767,-6.90461,2
3820,'2017/02/21 02:14:00:285',7,-17.148281,-6.942055,2
3821,'2017/02/21 02:14:00:301',7,-17.136829,-6.959908,2
3822,'2017/02/21 02:14:00:318',7,-17.134706,-6.958054,2
3823,'2017/02/21 02:14:00:335',7,-17.128666,-6.954071,2
3824,'2017/02/21 02:14:00:351',7,-17.123615,-6.950661,2
3825,'2017/02/21 02:14:00:370',7,-17.126122,-6.942795,2
3826,'2017/02/21 02:14:00:385',7,-17.135727,-6.933899,2
3827,'2017/02/21 02:14:00:402',7,-17.148417,-6.91832,2
3828,'2017/02/21 02:14:00:418',7,-17.163263,-6.896873,2
3829,'2017/02/21 02:14:00:436',7,-17.178415,-6.863174,2
3830,'2017/02/21 02:14:00:452',7,-17.233152,-6.814545,2
3831,'2017/02/21 02:14:00:469',7,-17.302696,-6.738853,2
3832,'2017/02/21 02:14:00:484',7,-17.36105,-6.627342,2
3833,'2017/02/21 02:14:00:501',7,-17.467703,-6.496864,2
3834,'2017/02/21 02:14:00:518',7,-17.615423,-6.331161,2
3835,'2017/02/21 02:14:00:534',7,-17.832945,-6.086716,2
3836,'2017/02/21 02:14:00:551',7,-17.994705,-5.927536,2
3837,'2017/02/21 02:14:00:568',7,-18.066765,-5.776039,2
3838,'2017/02/21 02:14:00:585',7,-18.089371,-5.72245,2
3839,'2017/02/21 02:14:00:602',7,-18.077604,-5.669731,2
3840,'2017/02/21 02:14:00:620',7,-18.026566,-5.675591,2
3841,'2017/02/21 02:14:00:635',7,-17.973911,-5.713821,2
3842,'2017/02/21 02:14:00:651',7,-17.767948,-5.866341,2
3843,'2017/02/21 02:14:00:667',7,-17.784086,-5.852745,2
3844,'2017/02/21 02:14:00:684',7,-17.83873,-5.808006,2
3845,'2017/02/21 02:14:00:700',7,-17.960258,-5.70433,2
